Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Marcello Sacchetti,,Person,[Validation] 罗马银行家/赞助人 (Pietro da Cortona)。,Q6087600,Marcello Sacchetti,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marchands-amateurs,,Concept,[Category Fix] 原文误标为 Man-Made Object。指“业余艺术商”这一特定历史群体/概念。,,,,No results found
Marche,Q1279,Place,"""Marche"" 的英语复数形式，标准化为 Marche。 | 意大利马尔凯大区。",Q1279,Marche,region in Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marchese Raggi,,Person,可能是 Lorenzo Raggi 或该家族成员（如 Bernini 的赞助人），保留头衔。,,,,No results found
Marchese Ruspoli,,Person,[Category Fix] 原文误标为 Man-Made Object。Francesco Maria Ruspoli 等。,,,,No results found
Marchigian town,,Place,泛指马尔凯大区的城镇。,,,,No results found
Marco Benefial,Q466471,Person,罗马画家。,Q466471,Marco Benefial,Italian painter (1684-1764),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marco Boschini,Q662866,Person,威尼斯画家及艺术理论家（《Carta del Navegar Pitoresco》作者）。,Q662866,Marco Boschini,Italian painter (1602-1681),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marco Fantuzzi,,Person,,Q108068895,Marco Fantuzzi,"Swiss writer, journalist and translator (1946-)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marco Foscarini,Q1242215,Person,威尼斯总督（Doge）。,Q1242215,Marco Foscarini,117th Doge of Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marco Pitteri,,Person,威尼斯版画家。,Q48879573,Marco Pitteri,Italian neuropsychologist (1981-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marco Ricci,Q930162,Person,威尼斯风景画家。,Q930162,Marco Ricci,"Italian painter, engraver and stage designer (1676-1730)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marco Sacconi,Q97571806,Person,,Q97571806,Marco Sacconi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marco Sebastiano Giampiccoli,Q21208132,Person,威尼斯版画家。,Q21208132,Marco Sebastiano Giampiccoli,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marcus Atilius Regulus,Q318718,Person,罗马执政官，历史画常见主题。,Q318718,Marcus Atilius Regulus,3rd-century BC Roman general and statesman,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marcus Curtius,Q624745,Person,罗马神话英雄，历史画常见主题。,Q624745,Marcus Curtius,ancient Roman legendary figure,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marcus Furius Camillus,Q294862,Person,罗马独裁官，历史画常见主题。,Q666740,Marcus Furius Camillus,1st century AD Roman senator and consul,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Marcus Junius Brutus,Q172248,Person,刺杀凯撒的布鲁图斯。,Q11935164,Marcus Junius Brutus,Roman jurist,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Margaret Whinney,Q3290527,Person,现代著名的英国艺术史学家。,Q3290527,Margaret Whinney,English art historian (1897–1975),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marguerite Calberg,,Person,"[Full Name] ""Melle""即Mlle，比利时纺织/艺术史学者。",,,,No results found
Marguerite Louise d'Orléans,Q268349,Person,"[OCR Fix] 乱码修复 ""Orl谷ans"" -> ""Orléans""。托斯卡纳大公夫人。 | 托斯卡纳大公夫人。",Q268349,Marguerite Louise d'Orléans,French princess,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Caterina,,Person,"[Ambiguous] 极泛指。结合上下文可能是 Rosalba Carriera 画作中的 ""Sister Maria Caterina"" 或 Maria Caterina Brignole。",Q106640322,Maria Caterina,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Elena Ghelli,,Person,,,,,No results found
Maria Labia,,Person,威尼斯 Labia 家族成员，Tiepolo 曾为该家族宫殿作画。,Q3204339,Maria Labia,singer (1880–1953),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Letizia Strocchi,Q125210034,Person,现代艺术史学者。,Q125210034,Maria Letizia Strocchi,"Italian author and art historian, active in Florence","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Luisa,Q229854,Person,常见王室名（如西班牙的玛丽亚·路易莎），需结合特定条目消歧。,Q18091939,Maria Luisa,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Mancini,Q242532,Person,马萨林枢机的侄女，路易十四的情人。,Q3847415,Maria Mancini,Italian nun,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Pamphilj,,Person,[Spelling Fix] 标准化拼写为 Pamphilj (Olimpia Maidalchini 的女儿等)。,,,,No results found
Maria Sellschopp,Q18916912,Person,可能是现代学者或具体的收藏/捐赠者。,Q18916912,Maria Sellschopp,Austrian writer and art historian (1904-1978),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Sergeevna Konopleva,Q116795898,Person,苏联艺术史学家/策展人。,Q116795898,Maria Sergeevna Konopleva,art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Teresa Bonadonna Russo,Q111771530,Person,现代学者（罗马历史研究）。,Q111771530,Maria Teresa Bonadonna Russo,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Theresa,,Person,玛丽亚·特蕾莎女王。,Q55111015,Maria Theresa,female given name; English language,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Vittoria Brugnoli,Q106410682,Person,现代艺术史学家。,Q106410682,Maria Vittoria Brugnoli,Italian art historian (1915-2013),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maria Walpole,Q446919,Person,格洛斯特公爵夫人，沃尔波尔家族成员。,Q75463847,Lady Maria Walpole,(1725-1801),"Medium Confidence - Score: 83.9 (Sim: 0.84, Cat: Neutral)"
Marianne Roland Michel,Q19997562,Person,著名的法国艺术史学家（专攻18世纪）。,Q19997562,Marianne Roland Michel,French art historian and art dealer (1936-2004),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mariano Armellini,Q2755302,Person,历史学家/考古学家（罗马基督教考古）。,Q2755302,Mariano Armellini,Italian archaeologist and historian (1852-1896),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marie Thérèse Rodet Geoffrin,Q269865,Person,[Disambiguation] 著名沙龙女主人。 | [OCR Fix] 乱码修复。若弗兰夫人，著名的沙龙女主人。,Q269865,Marie Thérèse Rodet Geoffrin,French salon-holde (1695–1777),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marie de' Medici,Q182021,Person,法国玛丽·德·美第奇王后。,Q182021,Marie de' Medici,"Queen of France, second wife of King Henry IV of France (1575-1642)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marilyn Aronberg Lavin,Q19997564,Person,现代著名的艺术史学家（Piero della Francesca 研究者）。,Q19997564,Marilyn Aronberg Lavin,American art historian (1925-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marino Berengo,Q3848172,Person,现代意大利历史学家。,Q3848172,Marino Berengo,Italian historian (1928-2000),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mario Brunetti,Q61473962,Person,历史学家（威尼斯研究）。,Q3848377,Mario Brunetti,"Italian politician, writer and journalist (1932–2024)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mario Chigi,Q98708917,Person,[Reconstruction] 教皇兄弟。 | 基吉家族成员（如教皇亚历山大七世的兄弟）。,Q100441578,Mario Chigi,1511 - 1564,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mario D'Orsi,,Person,现代艺术评论家/学者。,,,,No results found
Mario Minniti,Q153619,Person,"[OCR Fix] ""Minitti"" -> ""Minniti""。卡拉瓦乔的朋友/模特。 | 卡拉瓦乔的朋友和模特，西西里画家。",Q153619,Mario Minniti,Italian painter (1577-1640),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mario Nuzzi,Q1227379,Person,"别名 ""Mario dei Fiori""，以画花卉著称。 | 别名 Mario dei Fiori，花卉画家。",Q1227379,Mario Nuzzi,Italian painter (1603-1673),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mario Nuzzi (Mario de' Fiori),,Person,[Reconstruction] 静物画家。,,,,No results found
Mark Antony,Q51673,Person,罗马统帅马克·安东尼。,Q51673,Mark Antony,Roman politician and general (83 BC – 30 BC),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mark Ritchie,Q6769447,Person,现代学者/作者（出现在参考书目中）。,Q110140410,Mark Ritchie,American printer (born 1963),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mark Samuel Weil,Q125296744,Person,现代艺术史学家（巴洛克雕塑研究）。,,,,No results found
Marlborough Fine Art,,Place/Organization,"[OCR Fix] ""Malborough"" -> ""Marlborough""。画廊。",Q6771667,Marlborough Fine Art,commercial art gallery operated by Frank Lloyd,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marquess of Powis,,Person,"可能是 William Herbert, 1st Marquess of Powis (Jacobite)。",Q6772552,Marquess of Powis,title in the Peerage of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marquis of Mantua,,Person,[Validation] 贡扎加家族头衔。,Q969770,"Ludovico III Gonzaga, Marquis of Mantua",second margrave of Mantua,"Medium Confidence - Score: 80.7 (Sim: 0.61, Cat: Match)"
Marriage,Q26511045,Concept,[Category Fix] 原文误标为 Man-Made Object。,Q8445,marriage,social union or legal contract between people called spouses that creates kinship,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Marriage Allegory of the Rezzonico Family,,Work,[Category Fix] 提埃坡罗在 Ca' Rezzonico 的天顶画。,,,,No results found
Mars and Venus,Q28796946,Work,[Category Fix] 神话主题或特定画作。,Q18573895,Mars and Venus,painting by Giambattista Pittoni at the Louvre museum,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Martino Longhi the Elder,,Person,[Validation] 建筑师。 | 建筑师老马蒂诺·朗吉。,Q349522,Martino Longhi the Elder,Italian architect (1534–1591),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Martino Longhi the Younger,Q376713,Person,[Validation] 建筑师。 | 建筑师小马蒂诺·朗吉。,Q376713,Martino Longhi the Younger,Italian architect (1602–1660),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Martirii patiti dai Santi Martiri per la confessione di Cristo,,Work,[Typo Fix] 书籍/版画集标题，安东尼奥·坦佩斯塔（Tempesta）等人的作品。,,,,No results found
Martyrdom of Saint John the Bishop,,Work,[Category Fix] 可能是 Bergamo 的 Tiepolo 画作（St John of Bergamo）。,,,,No results found
"Mary, Queen of Scots",,Person,玛丽一世 (苏格兰)。,Q131412,"Mary, Queen of Scots",Queen of Scotland from 1542 to 1567 (1542–1587),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
María Antonieta Gatas,,Person,"[OCR Fix] ""Mar赤a"" -> ""María""。Gatas 可能是 Gallas 或类似拼写，保留原词待查，或是现代学者名。",,,,No results found
Masaniello,Q735619,Person,"[OCR/Typo Fix] 极可能是 ""Masaniello""（那不勒斯渔民起义领袖）的误拼。 | 托马索·阿涅洛（Tommaso Aniello），那不勒斯起义领袖。",Q735619,Masaniello,Italian (Neapolitan) fisherman and rebel of the 17th century,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Massacre of the Innocents,,Work,[Category Fix] 诸圣婴孩殉道图。,Q1247103,Massacre of the Innocents,"two Paintings in the Art Gallery of Toronto and the Alte Pinakothek, Munich and one version by his workshop in the Royal Museums of Fine Arts, Brussels","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Massimiliano Soldani Benzi,Q3297734,Person,佛罗伦萨雕塑家/章牌师。 | 佛罗伦萨雕塑家和章牌制作者。,Q3297734,Massimiliano Soldani Benzi,Italian artist (1656-1740),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Massimo Petrocchi,Q59528519,Person,现代学者。,Q59528519,Massimo Petrocchi,Italian historian and teacher,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Massimo Stanzione,Q982384,Person,那不勒斯画家，被称为“那不勒斯的圭多·雷尼”。,Q982384,Massimo Stanzione,17th century Italian Baroque painter (1586–1656),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Master of Monte Oliveto,Q18508515,Person,14世纪锡耶纳画派的匿名大师。,Q18508515,Master of Monte Oliveto,anonymous 14th century Sienese painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Matilda of Tuscany,Q464162,Person,托斯卡纳女伯爵（大女伯爵马蒂尔达）。,Q464162,Matilda of Tuscany,Canossian dynasty countess of Tuscany (c.1046–1115),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Matteo Bartolini,Q20246871,Person,17世纪建筑师。,Q124178247,Matteo Bartolini,researcher (ORCID 0000-0002-8479-5802),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Matteo Castelli,Q1909346,Person,活跃于波兰的意大利建筑师。,Q1909346,Matteo Castelli,Swiss sculptor and architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Matteo da Città di Castello,,Person,[Reconstruction] 文艺复兴建筑师。,,,,No results found
Matteo del Teglia,,Person,托斯卡纳外交官/代理人。,,,,No results found
Matthäus Daniel Pöppelmann,,Person,"[OCR Fix] ""P?ppelmann"" -> ""Pöppelmann""。德累斯顿建筑师。 | [OCR Fix] 乱码修复。德累斯顿茨温格宫的建筑师。",Q62637,Matthäus Daniel Pöppelmann,German architect,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mattia Loret,Q17362230,Person,(1880–1949) 波兰艺术史学家，曾任职于罗马。,Q17362230,Maciej Loret,Polish historian (1880-1949),"Medium Confidence - Score: 75.0 (Sim: 0.75, Cat: Neutral)"
Mattia Preti,Q468632,Person,卡拉布里亚骑士，著名的巴洛克画家。,Q468632,Mattia Preti,Italian painter (1613-1699),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Mattia Rosichino,,Person,[Disambiguation] 17世纪巴贝里尼宫画廊的管理者（guardaroba）和导览手册作者。,,,,No results found
Mattia de' Rossi,,Person,建筑师（贝尼尼学生）。 | 建筑师，贝尼尼的学生和助手。,Q2395202,Mattia de Rossi,Italian architect (1637–1695),"High Confidence - Score: 96.8 (Sim: 0.97, Cat: Neutral)"
Maurice Vaes,Q110215333,Person,现代艺术史学家（研究荷兰画家）。,Q110215333,Maurice Vaes,Belgian priest and art historian (1875-1962),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maurice of Savoy,,Person,萨伏伊的莫里斯枢机。,Q610738,Prince Maurice of Savoy,Catholic cardinal and Prince of Savoy,"Medium Confidence - Score: 82.1 (Sim: 0.82, Cat: Neutral)"
Maurizio Fagiolo dell'Arco,Q3852590,Person,著名的现代意大利艺术史学家（巴洛克权威）。,Q3852590,Maurizio Fagiolo dell'Arco,Italian art critic (1939-2002),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mauro Antonio Tesi,Q3301722,Person,18世纪博洛尼亚画家和建筑师。 | 别名 Maurino。,Q3301722,Mauro Antonio Tesi,painter and theatrical designer (1730-1766),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Max Goering,Q107164334,Person,德国艺术史学家。,Q107164334,Max Goering,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Max Harold Fisch,Q55988975,Person,哲学家/学者（维柯研究者）。,Q55988975,Max H. Fisch,,"Medium Confidence - Score: 78.6 (Sim: 0.79, Cat: Neutral)"
Max Hermann von Freeden,Q15834523,Person,德国艺术史学家（巴洛克研究）。,Q15834523,Max Hermann von Freeden,German art historian (1913-2001),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Max Steinbart,,Person,柏林银行家与艺术收藏家。,,,,No results found
"Maximilian II Emanuel, Elector of Bavaria",,Person,[Merge Candidate] 指向 Max Emmanuel。 | 巴伐利亚选帝侯。,Q57628,"Maximilian II Emanuel, Elector of Bavaria",Ruler of the Electorate of Bavaria from 1679 to 1726,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Maximilian III Joseph, Elector of Bavaria",Q57841,Person,,Q57841,"Maximilian III Joseph, Elector of Bavaria",Duke of Bavaria (1727-1777),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maximilien Misson,Q345742,Person,17世纪法国旅行作家（大游学向导）。,Q345742,Maximilien Misson,French travel writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maximilien Robespierre,Q44197,Person,罗伯斯庇尔。,Q44197,Maximilien Robespierre,French revolutionary lawyer and politician (1758–1794),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Maxwell White,,Person,学者（意大利文学/历史）。,Q1464780,Maxwell Hunter,American engineer (1922-2001),"Medium Confidence - Score: 81.5 (Sim: 0.81, Cat: Neutral)"
Mecklenburg,Q109057,Place,德国梅克伦堡地区。,Q37484532,Mecklenburg,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Medici Villa of Poggio a Caiano,,Place,美第奇别墅。,,,,No results found
Melchiorre Missirini,Q7002198,Person,19世纪意大利传记作家（卡诺瓦传记作者）。,Q7002198,Melchiorre Missirini,Italian author (1773–1849),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mercury,,Person,[Myth] 墨丘利神（除非特指某雕像，视为神话人物）。,Q613883,Mercury,automobile marque of the Ford Motor Company,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Mercury awaking Aeneas,,Work,[Category Fix] 画作主题（如提埃坡罗作品）。,,,,No results found
Messina,,Place,西西里墨西拿。,Q16876865,Messina,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Metropolitan Museum of Art,Q160236,Organization,[Category Fix] 纽约大都会艺术博物馆。,Q160236,Metropolitan Museum of Art,"art museum in New York City, United States","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Meyer Schapiro,Q533444,Person,著名艺术史学家。,Q533444,Meyer Schapiro,American historian of art (1904–1996),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Miani family,,Group,威尼斯贵族家族。,,,,No results found
Micco Spadaro,,Person,(Domenico Gargiulo) 那不勒斯画家。,Q1170226,Domenico Gargiulo,Neapolitan painter (1609-1675),"Medium Confidence - Score: 73.3 (Sim: 0.53, Cat: Match)"
Michael Baxandall,Q741130,Person,著名艺术史学家。,Q741130,Michael Baxandall,British art historian (1933-2008),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Michael Conforti,,Person,博物馆馆长/艺术史学者。,Q6829407,Michael Conforti,American television writer and actor,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
