Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Interior of the Pantheon,,Q112227232,Work,[Validation] 画作/版画主题 (Panini等)。,interior of the pantheon,painting by P. A. de Machy,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Iphigenia,Q192673,Q7462749,Person (Myth),[Validation] 神话人物。,Iphigenia,genus of plants,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ippolito Aldobrandini (Clement VIII),,Q397465,Person,[Disambiguation] 教皇克莱门特八世 (俗名)。也有可能是 Ippolito Aldobrandini (Cardinal)。,Ippolito Aldobrandini,Wikipedia Page Match,Advanced Match via 'Ippolito Aldobrandini': Score 105.0 (Neutral)
Ippolito Bentivoglio,Q24205954,Q24205954,Person,"[OCR Fix] 修正 ""Ippotilo"" 为 ""Ippolito""。 | [Validation] 费拉拉贵族/剧作家。",Ippolito Bentivoglio,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ippolito Bevilacqua,Q54141108,Q54141108,Person,[Validation] 贵族。,Ippolito Bevilacqua,Italian writer (1721-1794),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Iris,Q184570,Q156901,Person (Myth),[Validation] 彩虹女神。,Iris,genus of plants in the order Iridaceae,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Iris Appearing to Turnus,,Q130010031,Work,[Validation] 绘画主题。,Iris appearing to Turnus; study of a Helmet (recto); Alternative design for the recto composition (verso),,"Low Confidence - Score: 37.2 (Sim: 0.37, Cat: Neutral)"
Irma B. Jaffe,,Q19997537,Person,[Validation] 艺术史学家。,Irma Jaffe,American art historian,"Medium Confidence - Score: 87.0 (Sim: 0.87, Cat: Neutral)"
Irving Lavin,Q19753933,Q19753933,Person,[Validation] 艺术史学家 (Bernini)。,Irving Lavin,American art historian (1927-2019),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isaac,Q671872,Q5920537,Person,[Validation] 圣经人物。,Isaac,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isaac Newton,Q935,Q935,Person,[Validation] 牛顿。,Isaac Newton,English mathematician and physicist (1642–1727),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isabella Teotochi Albrizzi,Q5454,Q5454,Person,[Validation] 威尼斯作家/沙龙女主人。,Isabella Teotochi Albrizzi,Italian author (1760-1836),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isabella d'Este,,Q593626,Person,[Reconstruction] 文艺复兴赞助人。,Isabella d'Este,Italian noble,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isabella de' Medici,Q271831,Q271831,Person,[Validation] 美第奇家族成员。,Isabella de' Medici,daughter of Cosimo I. de’ Medici and Eleonora of Toledo (1542-1576),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isaiah,Q188794,Q920209,Person,[Validation] 先知。,Isaiah,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ischia,Q72134,Q99981411,Place,[Validation] 岛屿。,Ischia,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Isidoro Bianchi,Q3155339,Q3155339,Person,[Validation] 伦巴第画家/灰泥艺术家。,Isidoro Bianchi,Italian painter (1581-1662),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Isis,Q79876,Q79876,Person (Myth),[Validation] 女神。,Isis,Egyptian deity,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Italian Enlightenment,,Q3796476,Concept,[Validation] 历史时期/运动。,Italian Enlightenment,the enlightenment movement in Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Italo Faldi,Q124854627,Q124854627,Person,[Validation] 艺术史学家/博物馆馆长。,Italo Faldi,"Italian author and art historian, active in Rome","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
J. A. F. Orbaan,,Q19753956,Person,[Validation] 艺术史学家 (Sixtine Rome)。,Johannes A. F. Orbaan,(1874-1933),"Medium Confidence - Score: 77.8 (Sim: 0.78, Cat: Neutral)"
J. Paul Getty Museum,Q731126,Q731126,Place/Organization,[Validation] 博物馆。,J. Paul Getty Museum,"art museum in Los Angeles, California","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacob,Q289957,Q25999604,Person,[Validation] 圣经人物。,Jacob,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacob Hess,Q19753934,Q19753934,Person,[Validation] 艺术史学家 (Tassi/Passeri)。,Jacob Hess,German art historian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacob Wrestling with the Angel,,Q9370562,Work,[Validation] 绘画主题。,Jacob wrestling with the angel,painting by Rembrandt,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacob and Rachel,Q120884420,Q111639853,Work,[Validation] 绘画主题。,Jacob and Rachel,painting by Joseph von Führich (1800-1876),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacob's Ladder,,Q607715,Work,[Validation] 绘画主题。,Jacob's Ladder,ladder to heaven seen by the biblical patriarch Jacob in a dream,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacopo Amigoni,Q380897,Q380897,Person,[Validation] 威尼斯洛可可画家。,Jacopo Amigoni,Italian painter (1682-1752),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacopo Bassano,,Q346502,Person,[Reconstruction] 威尼斯画家。,Jacopo Bassano,Italian painter (1510–1591),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacopo Facciolati,Q3157640,Q3157640,Person,[Reconstruction] 帕多瓦学者/语言学家。 | [Validation] 帕多瓦语文学家。,Jacopo Facciolati,Italian philologist (1682-1769),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacopo Guarana,Q3805882,Q3805882,Person,[Validation] 威尼斯画家。,Jacopo Guarana,Italian painter (1720-1808),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacopo Morelli,,Q1110381,Person,[Validation] 圣马可图书馆馆长。 | 著名的圣马可图书馆馆长。,Jacopo Morelli,Italian entrepreneur (1975-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacopo Pedozzi,,,Person,[Validation] 灰泥艺术家 (18世纪)。,,,No results found
Jacopo Salviati,,Q913241,Person,[Validation] 贵族。,Jacopo Salviati,politician (1461-1533),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacopo Sansovino,Q202267,Q202267,Person,[Validation] 建筑师/雕塑家。,Jacopo Sansovino,Italian artist (1486–1570),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacopo Tintoretto,Q9319,Q9319,Person,丁托列托。,Jacopo Tintoretto,Renaissance painter (1518/1519–1594),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacques Callot,Q460124,Q65023290,Person,[Validation] 版画家。,Jacques Callot,engraving by Lucas Vorsterman I after van Dyck in the National Gallery of Art NGA 10786 u. 51391; 27807 Yale,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jacques Courtois (Il Borgognone),,Q1366347,Person,[Disambiguation] 雅克·库尔图瓦 (战斗画家)。 | [Validation] 画家。,Jacques Courtois,Burgundian painter (1621-1676),Advanced Match via 'Jacques Courtois': Score 120.0 (Match)
Jacques Duyvelant,,,Person,[Reconstruction] 佛兰芒画家。 | [Validation] 17世纪佛兰芒画家 (Antwerp)。,,,No results found
Jacques Thuillier,Q3160087,Q3160087,Person,[Validation] 艺术史学家。,Jacques Thuillier,French art historian (1928–2011),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jacques Tubeuf,,,Person,[Validation] 收藏家 (Poussin赞助人)。,,,No results found
Jacques and Guillaume Courtois,,Q941049,Group,[Split Required] 兄弟画家 (Il Borgognone)。 | [Validation] 兄弟画家。,Jacques,Wikipedia Page Match,Advanced Match via 'Jacques': Score 105.0 (Neutral)
Jacques-Bénigne Bossuet,,Q18147168,Person,[Reconstruction] 法国主教/布道家。 | [Validation] 主教/作家。,Jacques-Bénigne Bossuet,sculpture by Louis Desprez,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jael,Q954820,Q62666916,Person,[Validation] 圣经人物。,Jael,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jael and Sisera,,Q3762348,Work,[Validation] 绘画主题。,Jael and Sisera,painting by Artemisia Gentileschi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jakob Christoph Le Blon,,Q1678961,Person,[Validation] 德国/法国版画家。 | [Validation] 版画家 (彩色版画发明者)。,Jacob Christoph Le Blon,painter (1667-1741),"High Confidence - Score: 115.7 (Sim: 0.96, Cat: Match)"
James Adam,Q2618073,Q108353602,Person,[Validation] 建筑师 (Robert Adam之弟)。,James Adam,Scottish KC,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James Altham,,Q76283112,Person,[Validation] 英国人物 (可能指 Sir James Altham 或后代)。,James Altham,Peerage person ID=661085; (1662-1697),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"James Brydges, 1st Duke of Chandos",,Q333238,Person,[Validation] 贵族/赞助人。,"James Brydges, 1st Duke of Chandos",English politician (1673-1744),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James Byam Shaw,Q18671536,Q18671536,Person,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。 | [Validation] 艺术史学家 (Venetian drawings)。,James Byam Shaw,art historian and art dealer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James C. Davis,,Q64831004,Person,[Validation] 历史学家 (A Venetian Family)。,James C. Davis,American professor of education and academic administrator (1925–2009),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James Francis Edward Stuart,,Q19123665,Person,[Disambiguation] 老僭王 (自称詹姆斯三世)。 | [Validation] 老僭王。,James Francis Edward Stuart (DNB00),entry in Dictionary of National Biography,"Medium Confidence - Score: 87.1 (Sim: 0.87, Cat: Neutral)"
James Gibbs,,Q114700600,Person,[Disambiguation] 詹姆斯·吉布斯。,James Gibbs,historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James Gibbs (Jacopo Ghibbesio),,Q1352355,Person,[Disambiguation] 詹姆斯·吉布斯 (苏格兰建筑师，曾用意大利名)。,James Gibbs,Wikipedia Page Match,Advanced Match via 'James Gibbs': Score 105.0 (Neutral)
James II of England,Q126188,Q126188,Person,[Validation] 英国国王。,James II of England,"King of England, Scotland, and Ireland (1633–1701)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James S. Ackerman,,Q3161414,Person,[Validation] 建筑史学家 (Palladio/Michelangelo)。,James S. Ackerman,American architectural historian (1919–2016),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
James Thornhill,Q1681192,Q1681192,Person,[Validation] 英国巴洛克画家。,James Thornhill,British painter (1675-1734),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
James Wyatt,Q1350728,Q75469007,Person,[Validation] 英国建筑师。,James Wyatt,Peerage person ID=161387,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan Baptist de Wael,Q15432690,Q15432690,Person,[Validation] 佛兰芒画家/版画家。 | 佛兰芒画家。,Jan Baptist de Wael,Flemish printmaker (1632–1697),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jan Białostocki,,Q1681622,Person,[Validation] 艺术史学家。,Jan Bialostocki,Polish art historian (1921-1988),"High Confidence - Score: 93.3 (Sim: 0.93, Cat: Neutral)"
Jan Both,Q981631,Q981631,Person,[Validation] 荷兰风景画家。,Jan Both,17th-century Dutch painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan Brueghel the Elder,,Q209050,Person,"[Disambiguation] 绰号 ""Velvet Brueghel"" (绒毛布鲁盖尔)。",Jan Brueghel the Elder,Flemish painter (1568–1625),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan Dubravius,,Q722649,Person,(Giovanni Dubravio Skala) 历史学家/主教。,Jan Dubravius,"Czech writer, poet, humanist chronicler and bishop of Olomouc","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan Miel,Q979945,Q979945,Person,[Validation] 佛兰芒画家。,Jan Miel,Flemish painter (1599-1663),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan Weenix,Q1346044,Q1346044,Person,[Validation] 荷兰静物/风景画家。,Jan Weenix,Dutch painter (1642–1719),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan van den Eynde,Q109562238,Q109562238,Person,[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。 | 佛兰芒建筑师/商人，活跃于那不勒斯。 | 佛罗伦萨/那不勒斯富商/收藏家。,Jan van den Eynde,Flemish painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jan van den Hecke,Q2486064,Q2486064,Person,[Validation] 佛兰芒画家。,Jan van den Hecke,Flemish painter (1620-1684),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jane Costello,Q19753944,Q19753944,Person,[Validation] 艺术史学家。,Jane Costello,"American Poussin scholar, professor of art history","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean Alazard,Q3170300,Q3170300,Person,[Validation] 艺术史学家。,Jean Alazard,French art historian (1887-1960),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean Delumeau,,Q767691,Person,[Validation] 历史学家。,Jean Delumeau,French historian (1923-2020),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean Dughet,Q21567825,Q21567825,Person,[Validation] 普桑的内弟/版画家。,Jean Dughet,engraver,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean Huber,Q684146,Q684146,Person,[Validation] 瑞士画家 (Voltaire肖像)。,Jean Huber,Genevan painter (1721-1786),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean Lemaire (Lemaire-Poussin),,Q212445,Person,[Validation] 法国画家。,Jean Lemaire,French painter,Advanced Match via 'Jean Lemaire': Score 120.0 (Match)
Jean-Antoine Houdon,Q318741,Q318741,Person,[Validation] 新古典主义雕塑家。,Jean-Antoine Houdon,French artist (1741–1828),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Antoine Nollet,Q994738,Q994738,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。物理学家。 | [Validation] 物理学家 (Abbé Nollet)。",Jean-Antoine Nollet,French clergyman and physicist (1700-1770),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Antoine Watteau,,Q183221,Person,[Validation] 法国画家。 | 华托。,Jean-Antoine Watteau,French painter (1684–1721),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Baptiste Bouchardon,,Q2340642,Person,[Validation] 雕塑家 (Edmé的父亲)。,Jean-Baptiste Bouchardon,French architect and sculptor (1667-1742),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean-Baptiste Colbert,Q188971,Q188971,Person,[Validation] 路易十四的大臣。,Jean-Baptiste Colbert,French statesman (1619–1683),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Baptiste Théodon,Q504308,Q504308,Person,"[OCR Fix] ""Th谷odon"" -> ""Théodon""。法国雕塑家。 | [Validation] 法国雕塑家。",Jean-Baptiste Théodon,French artist (1645–1713),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Baptiste Vanmour,,Q956812,Person,[Validation] 法国画家 (东方主义)。,Jean Baptiste Vanmour,Flemish-French painter (1671-1737),"High Confidence - Score: 115.2 (Sim: 0.95, Cat: Match)"
Jean-Baptiste van Mour,,Q956812,Person,以描绘奥斯曼帝国风情著称的画家。,Jean Baptiste Vanmour,Flemish-French painter (1671-1737),"High Confidence - Score: 113.0 (Sim: 0.93, Cat: Match)"
Jean-Baptiste-Siméon Chardin,Q207447,Q207447,Person,[Validation] 法国画家。,Jean-Baptiste-Siméon Chardin,painter from France (1699-1779),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Claude Richard de Saint-Non,,Q2305074,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。著名的艺术赞助人和版画家。",Jean-Claude Richard de Saint-Non,French painter and printmaker (1727-1791),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-François Millet,,Q148458,Person,"[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] 乱码修复 ""?ois"" -> ""çois""。",Jean-François Millet,French painter (1814–1875),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-François de La Harpe,,Q379022,Person,"[Disambiguation] 评论家。 | [OCR Fix] ""?"" -> ""ç""。",Jean-François de La Harpe,"French playwright, writer and critic (1739-1803)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean-François de Troy,,Q707729,Person,"[OCR Fix] ""?"" -> ""ç""。",Jean-François de Troy,French painter (1679-1752),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Honoré Fragonard,Q127171,Q127171,Person,[Reconstruction] 法国画家。 | [Validation] 法国画家。,Jean-Honoré Fragonard,French painter (1732–1806),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Jean-Hugues Taraval,Q3142347,Q3142347,Person,[Validation] 法国画家。,Hugues Taraval,French painter (1729-1785),"High Confidence - Score: 104.8 (Sim: 0.85, Cat: Match)"
Jean-Jacques Bouchard,Q3166189,Q3166189,Person,[Validation] 17世纪法国日记作者 (罗马生活)。,Jean-Jacques Bouchard,French writer (1606–1641),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jean-Jacques Rousseau,,Q6527,Person,[Validation] 哲学家。,Jean-Jacques Rousseau,"Genevan philosopher, writer, and composer (1712–1778)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jeffrey Daniels,Q16185399,Q16185399,Person,[Validation] 艺术史学家 (Sebastiano Ricci)。,Jeffrey Daniels,architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jennifer Montagu,,Q20962867,Person,[Validation] 艺术史学家。 | 现代著名艺术史学家（巴洛克雕塑权威）。,Jennifer Montagu,British art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jenny Adam,Q19402811,Q19402811,Person,[Check Original] 可能是 Robert Adam 的妹妹 Janet (Jenny)?,Jenny Adam,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Jeremiah,Q158825,Q14649096,Person,[Validation] 先知。,Jeremiah,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
